original	bermuda
0.0	27
1.0	28
2.0	29
3.0	30
4.0	31
5.0	32
6.0	33
7.0	34
8.0	35
9.0	36
10.0	37
11.0	38
12.0	39
13.0	40
14.0	41
15.0	42
16.0	43
17.0	44
18.0	45
19.0	46
20.0	47
21.0	48
22.0	49
23.0	50
24.0	NaN
25.0	51
26.0	52
27.0	53
28.0	NaN
29.0	54
