original	bermuda
0.0	NaN
1.0	NaN
2.0	NaN
3.0	NaN
4.0	NaN
5.0	NaN
6.0	NaN
7.0	NaN
8.0	NaN
9.0	NaN
10.0	NaN
11.0	NaN
12.0	NaN
13.0	NaN
14.0	NaN
15.0	NaN
16.0	NaN
17.0	NaN
18.0	NaN
19.0	NaN
20.0	NaN
21.0	NaN
22.0	NaN
23.0	NaN
24.0	NaN
25.0	NaN
26.0	NaN
27.0	NaN
28.0	NaN
29.0	NaN
